DOI;Título del estudio primario;Ámbitos de los estudios primarios;Modelos;Metodología de la ingeniería de prompts
10.1007/978-3-031-78386-9_25;ReqGenie: GPT-Powered Conversational-AI for Requirements Elicitation;"Academic; Education (proposal)";GPT-4;"Role prompting; Zero-shot; Prompt chaining; Task decomposition; Self-Ask; Answer Engineering"
10.1007/978-3-031-78386-9_20;Early Results of an AI Multiagent System for Requirements Elicitation and Analysis;"Academic; Industrial (partial, no industrial validation)";"GPT-3.5; GPT-4o";"Role prompting; Zero-shot; Prompt chaining; Ensembling; Answer Engineering"
10.1007/978-3-031-88531-0_19;Leveraging Requirements Elicitation through Software Requirement Patterns and LLMs;Academic;"GPT-4o; GPT-4o-mini";"Zero-shot; Prompt template; Style prompting; Answer Engineering; Prompt chaining; Ensembling"
10.1109/RE63999.2025.00013;LLMREI: Automating Requirements Elicitation Interviews with LLMs;"Academic; Education (no specific tool)";"GPT-3.5-Turbo; GPT-4o";"Zero-shot; Least-to-Most Prompting; Role prompting; Style prompting; Few-shot; Answer Engineering"
10.1109/SEAA60479.2023.00061;Investigating ChatGPT’s Potential to Assist in Requirements Elicitation Processes;"Academic; Industrial (partial, industrial validation, no real project)";GPT-3.5;Zero-shot
10.1109/RE63999.2025.00021;Requirements Elicitation Follow-Up Question Generation;"Academic; Education (no specific tool)";GPT-4o;"Role prompting; Zero-shot; One-shot; In-Context Learning; Chain-of-Thouhts; Answer Engineering"
10.1145/3691620.3695350;Self-Elicitation of Requirements with Automated GUI Prototyping;Academic;GPT-4;"Few-shot; Zero-shot; Prompt template; Prompt chaining; Answer Engineering"
10.1109/REW66121.2025.00078;Muli-Agent LLMs as Ethics Advocates for AI based Systems;Academic;"Gemini-1.5-flash; Gemini-2.5-pro; Llama-3.1 70B";"Role prompting; Chain-of-Thoughts; Prompt chaining; Self-Criticism"
10.1109/COMPSAC61105.2024.00181;Combining Prompts with Examples to Enhance LLM-Based Requirement Elicitation;Academic;GPT-4;"Few-shot; Answer Engineering"
10.1109/RE59067.2024.00022;Normative Requirements Operationalization with Large Language Models;Academic;GPT-4;"In-Context Learning; Chain-of-Thoughts; Answer Engineering; Self-Verification"
10.1109/REW61692.2024.00006;Quest-RE QUestion Generation and Exploration STrategy for Requirements Engineering;Academic;"GPT-3.5; GPT-4; Llama-2 13B; Mistral-7B; Miqu-1 70B; Dolphin-2.2-Ti; Psymerdrp-vi 20B; WinterGoliath 123B; Phi-2-orange";"Zero-shot; Prompt template; Answer Engineering; Prompt chaining"
10.2196/52885;Leveraging Generative AI Tools to Support the Development of Digital Solutions in Health Care Research: Case Study;"Academic; Industrial (partial, no industrial validation)";GPT-4;"Role prompting; Zero-shot; Prompt chaining; Self-Ask; Answer Engineering"
10.1145/3729347;Incorporating Verification Standards for Security Requirements Generation from Functional Specifications;Academic;GPT-4;"Retrieval-Augmented Generation; Few-shot; In-Context Learning; Role prompting; Answer Engineering"
10.1007/978-981-96-0805-8_17;Service-Oriented Requirements Elicitation Through Systematic Questionnaire Design: A Problem-Driven GenAI Approach;"Academic; Education (no specific tool)";GPT-4;"Zero-shot; Decomposition; Style prompting; Answer Engineering"
